document,paragraph_index,original_text,simplified_text,original_text_isssues_detected,simplification_rules_applied,tagging_date,tagging_elapsed_time
aae5c6f0c213946d265cb98c08106c0b,1,"L'obiettivo primario del Servizio è la diffusione e il rispetto delle norme che regolano la convivenza civile sul territorio comunale. In particolare il servizio svolto si propone alla cittadinanza per meglio far conoscere i servizi offerti e per un migliore orientamento nel territorio (informazione su dislocazione di servizi di pubblica utilità, parcheggi, toponomastica vie, ecc.).","Il Servizio ha come obiettivo la diffusione e il rispetto delle norme che regolano la convivenza civile sul territorio comunale. In particolare il servizio vuole far conoscere alla cittadinanza i servizi offerti e migliorare l'orientamento nel territorio (informazione su dove si trovano servizi di pubblica utilità, parcheggi, toponomastica vie, ecc.).",,,2024-03-25T18:03:58.719990,137.0
aae5c6f0c213946d265cb98c08106c0b,2,"I Servizi di Polizia Locale Reparto Operativo del Comune svolgono la propria attività a favore del rispetto delle regole di convivenza nella città di Rovigo, basandosi su alcuni principi fondamentali, enunciati di seguito al punto 9) ed attuati sempre con spirito di servizio. ","I Servizi di Polizia Municipale Reparto Operativo del Comune agiscono nel rispetto delle regole di convivenza nella città di Rovigo. Si basano su alcuni principi fondamentali, descritti di seguito al punto 9) ed attuati sempre con spirito di servizio. ",,,2024-03-25T18:05:13.997051,73.0
aae5c6f0c213946d265cb98c08106c0b,3,"L'operatore di Polizia Locale, quindi, rappresenta un importante punto di riferimento per la collettività. Nell'ambito delle sue funzioni, esso svolge i propri compiti in maniera autorevole, dando prova di preparazione professionale e sensibilità nel contatto relazionale. La sua attività, inoltre, è caratterizzata dal costante sforzo teso alla migliore interpretazione delle situazioni e delle problematiche incontrate, applicando un approccio educativo e orientato alla più adeguata risposta ai bisogni della cittadinanza. ","L'operatore di Polizia Locale, quindi, è un importante punto di riferimento per la collettività. Quando è in servizio, esso svolge i propri compiti in maniera autorevole. Dimostra preparazione professionale e sensibilità nel contatto con gli utenti. Cerca sempre di interpretare le situazioni e i problemi nel migliore dei modi. Applica un approccio educativo e cerca di adeguarsi ai bisogni della cittadinanza. ",,,2024-03-25T18:08:05.505903,166.0
aae5c6f0c213946d265cb98c08106c0b,4,"Le modalità di azione e di intervento partono dall'ascolto dei bisogni del cittadino, al fine di individuare soluzioni adeguate e orientate al benessere comune, per una migliore fruizione dei servizi e delle possibilità d'uso della città.","Si agisce e si interviene dopo aver ascoltato i bisogni del cittadino. In questo modo si individuano le soluzioni adeguate e orientate al benessere comune, per una migliore fruizione dei servizi e delle possibilità d'uso della città.",frase lunga | stile nominale,spezzare le frasi | inserire verbi,2024-03-26T08:08:19.422703,113.0
aae5c6f0c213946d265cb98c08106c0b,5,"Il Servizio di Polizia Locale Reparto Operativo agisce al fine di garantire l'ordinato svolgimento delle seguenti attività: controllo della mobilità e sicurezza stradale; tutela della vivibilità e della qualità urbana, nonché salvaguardia della sicurezza sociale.","Il Servizio di Polizia Locale Reparto Operativo agisce per garantire l'ordinato svolgimento di queste attività: 
controllo della mobilità e sicurezza stradale; 
tutela della vivibilità e della qualità urbana, 
salvaguardia della sicurezza sociale.",,,2024-03-26T08:09:03.112359,42.0
aae5c6f0c213946d265cb98c08106c0b,6,"attività di controllo esercitata sugli utenti della strada, volta a prevenire e reprimere i comportamenti che creano pericolo per la sicurezza e l'incolumità dei cittadini sulle strade, o che ledono il diritto alla mobilità; ","attività di controllo esercitata su chi circola per strada, per prevenire e reprimere i comportamenti che creano pericolo per la sicurezza e l'incolumità dei cittadini sulle strade, o che ledono il diritto alla mobilità; ",,,2024-03-26T08:09:51.617437,47.0
aae5c6f0c213946d265cb98c08106c0b,7,azioni di regolamentazione e sostegno finalizzate ad un più fluido scorrimento della viabilità locale.,azioni di regolamentazione e sostegno rendere più fluido lo scorrimento della viabilità locale.,,,2024-03-26T08:10:14.326123,21.0
aae5c6f0c213946d265cb98c08106c0b,8,"Le priorità di intervento sono sviluppate attraverso azioni mirate a far rispettare il Codice della Strada (eccesso di velocità, transito con il semaforo rosso, rispetto dell'uso del casco, divieto di uso del telefono cellulare nei casi previsti, obbligo di cinture di sicurezza, ecc.), in accordo con le strategie dell'Amministrazione Comunale, e rifacendosi inoltre alle analisi dei fenomeni propri della mobilità locale ed ai dati relativi alle componenti di rischio per gli utenti della strada. Tali campagne vengono promosse e supportate da azioni di informazione continua: l'educazione stradale scolastica ne rappresenta un momento fondamentale, incidendo sulla formazione delle fasce giovanili della popolazione.","Gli agenti hanno come priorità far rispettare il Codice della Strada (eccesso di velocità, transito con il semaforo rosso, rispetto dell'uso del casco, divieto di uso del telefono cellulare nei casi previsti, obbligo di cinture di sicurezza, ecc.). Le azioni degli agenti devono essere in accordo con le strategie dell'Amministrazione Comunale. Devono adattarsi inoltre alle analisi della mobilità locale ed alla considerazione del rischio per gli utenti della strada. Queste campagne vengono promosse e supportate da azioni di informazione continua: un momento fonamentale è l'educazione stradale scolastica , perché incide sulla formazione delle fasce giovanili della popolazione.",frase lunga | subordinata implicita,spezzare frasi | subordinata esplicita,2024-03-26T08:13:43.607251,204.0
aae5c6f0c213946d265cb98c08106c0b,9,"Comprende le attività operative specifiche per la promozione di un sistema integrato di sicurezza in base alle direttive impartite dalla Prefettura. In tal senso la Polizia Locale opera d'iniziativa ed anche in collaborazione con altre forze di Polizia, con altri settori della Amministrazione Comunale e con le istituzioni locali preposte alle problematiche sociali che possono incidere sul territorio in termini di sicurezza e vivibilità. Le specifiche azioni intraprese sono finalizzate a monitorare e contrastare la microcriminalità e fenomeni di disagio urbano, quali ad esempio lo spaccio di sostanze stupefacenti, gli edifici occupati abusivamente, e così via. La Polizia Locale si impegna inoltre, con tutte le risorse presenti sul territorio e attraverso gli agenti di quartiere, a prevenire e controllare fenomeni di disturbo della quiete pubblica, nonché ad intervenire in situazioni di conflitto o che comportino problemi alla convivenza dei cittadini.","Comprende le attività che vogliono promuovere un sistema integrato di sicurezza, basato sulle direttive date dalla Prefettura. In questo senso la Polizia Locale opera, dopo aver ricevuto l'indicazione e collaborando 
con altre forze di Polizia, 
con altri settori della Amministrazione Comunale, 
con le istituzioni locali che si occupano delle problematiche sociali, che possono incidere sulla sicurezza e sulla vivibilità del territorio. 

Le specifiche azioni intendono controllare e contrastare la microcriminalità e il disagio urbano. Tra questi ci sono lo spaccio di sostanze stupefacenti, gli edifici occupati abusivamente, e così via. La Polizia Locale si impegna inoltre, con tutte le risorse presenti sul territorio e attraverso gli agenti di quartiere, a prevenire e controllare fenomeni di disturbo della quiete pubblica, e ad intervenire in situazioni di conflitto o che comportino problemi alla convivenza dei cittadini.",,,2024-03-26T08:18:32.070029,282.0
aae5c6f0c213946d265cb98c08106c0b,10,"Cittadini residenti e non residenti che usufruiscono dei servizi della Polizia Locale, con le modalità illustrate al punto precedente.","Cittadini residenti e non residenti che usufruiscono dei servizi della Polizia Locale, con le modalità illustrate al punto precedente.",,,2024-03-26T08:18:41.971465,9.0
aae5c6f0c213946d265cb98c08106c0b,11,L'Ufficio Cassa è aperto negli stessi giorni dalle ore 08.30 alle ore 12.30.,L'Ufficio Cassa è aperto negli stessi giorni dalle ore 08.30 alle ore 12.30.,,,2024-03-26T08:18:46.765080,4.0
aae5c6f0c213946d265cb98c08106c0b,12,"Mediante libero accesso agli uffici negli orari di apertura al pubblico si effettuano le seguenti prestazioni: 
- Informazioni generali; 
- Informazioni e chiarimenti relativi ad eventuali preavvisi di contravvenzione; 
- Ritiro e consegna atti","attraverso libero accesso agli uffici negli orari di apertura al pubblico si effettuano le seguenti prestazioni: 
- Informazioni generali; 
- Informazioni e chiarimenti relativi ad eventuali preavvisi di contravvenzione; 
- Ritiro e consegna atti",,,2024-03-26T08:19:00.893403,13.0
aae5c6f0c213946d265cb98c08106c0b,13,"È possibile ricevere informazioni mediante appuntamento, che può essere richiesto e fissato anche telefonicamente ai seguenti numeri","È possibile ricevere informazioni attraverso un appuntamento, che può essere richiesto e fissato anche telefonicamente ai seguenti numeri",,,2024-03-26T09:43:28.581368,25.0
aae5c6f0c213946d265cb98c08106c0b,14,"I destinatari del servizio possono esercitare il loro diritto, nell'ambito del processo di erogazione del servizio, a partecipare al miglioramento dei procedimenti in termini di semplificazione, trasparenza, efficienza ed efficacia.","Durante il servizio, i destinatari dello stesso possono partecipare al miglioramento dei procedimenti in termini di semplificazione, trasparenza, efficienza ed efficacia.",inciso,eliminare inciso,2024-03-26T09:45:32.456285,119.0
aae5c6f0c213946d265cb98c08106c0b,15,"I destinatari del servizio possono esercitare il loro diritto, nell'ambito del processo di erogazione del servizio, a partecipare all'istruttoria del procedimento di interesse, esercitando i diritti.","Durante o dopo il servizio, i destinatari dello stesso possono partecipare al procedimento di interesse, esercitando i diritti.",,,2024-03-26T09:46:39.725818,65.0
aae5c6f0c213946d265cb98c08106c0b,16,Nell'esercizio di tali diritti l'utente riceve l'assistenza del responsabile del procedimento o dell'istruttore incaricato.,"Quando questi diritti vengono esercitati, l'utente riceve l'assistenza del responsabile del procedimento o dell'istruttore incaricato.",,,2024-03-26T09:47:15.160478,34.0
aae5c6f0c213946d265cb98c08106c0b,17,"L'erogazione del servizio avviene di norma con continuità, regolarità e senza interruzioni nei giorni e negli orari stabiliti al punto 6. ","Il servizio è erogato di norma con continuità, regolarità e senza interruzioni nei giorni e negli orari stabiliti al punto 6. ",,,2024-03-26T09:47:43.061751,26.0
aae5c6f0c213946d265cb98c08106c0b,18,"Eventuali interruzioni nell'erogazione del servizio, dovute a cause di forza maggiore o eventualmente programmate, saranno tempestivamente comunicate all'utenza, unitamente alla motivazione dell'interruzione, di norma nei seguenti modi: 
- con affissioni di cartelli agli ingressi degli uffici; 
- pubblicate sul sito Internet del Comune nella pagina ""Polizia Locale"", all'interno della ""Guida ai servizi comunali""","Se il servizio è interrotto, per causa di forza maggiore o eventualmente programmate, gli utenti sono subito informati. è spiegata la ragione dell'interruzione, di norma nei seguenti modi: 
- con affissioni di cartelli agli ingressi degli uffici; 
- pubblicate sul sito Internet del Comune nella pagina ""Polizia Locale"", all'interno della ""Guida ai servizi comunali""",,,2024-03-26T09:49:03.242282,78.0
aae5c6f0c213946d265cb98c08106c0b,19,"I Servizi di Polizia Locale Reparto Operativo improntano la propria azione organizzativa e di erogazione delle prestazioni ai principi di efficienza ed efficacia, specificando che:
- per efficienza si intende la fornitura di prestazioni e servizi al massimo livello quantitativo e qualitativo rispetto alle risorse a disposizione ed ai programmi stabiliti;
- per efficacia si intende la fornitura di prestazioni e servizi al massimo livello quantitativo e qualitativo rispetto ai bisogni ed alle necessità degli utenti, ricercando la soddisfazione degli stessi","I Servizi di Polizia Locale Reparto Operativo agiscono e erogano le prestazioni in maniera efficiente ed efficace, specificando che:
- per efficienza si intende la fornitura di prestazioni e servizi al massimo livello quantitativo e qualitativo rispetto alle risorse a disposizione ed ai programmi stabiliti;
- per efficacia si intende la fornitura di prestazioni e servizi al massimo livello quantitativo e qualitativo rispetto ai bisogni ed alle necessità degli utenti, ricercando la soddisfazione degli stessi",,,2024-03-26T09:50:31.633087,84.0
aae5c6f0c213946d265cb98c08106c0b,20,"Gli operatori dei Servizi di Polizia Locale Reparto Operativo ispirano i loro comportamenti nei confronti degli utenti a criteri di obiettività, giustizia ed imparzialità.","Gli agenti dei Servizi di Polizia Locale Reparto Operativo cercano di agire con gli utenti in maniera obiettiva, giusta ed imparziale.",,,2024-03-26T09:51:34.610244,60.0
aae5c6f0c213946d265cb98c08106c0b,21,"I responsabili del Reparto Operativo si impegnano a far sì che il comportamento dei propri collaboratori sia ispirato a presupposti di gentilezza, cortesia e disponibilità nei rapporti con gli utenti, auspicando che l'atteggiamento di questi ultimi sia improntato ad un criterio di proficua collaborazione, tale da agevolare in ogni occasione la corretta erogazione del servizio. ","I responsabili del Reparto Operativo spingono i collaboratori a comporatsi con gentilezza, cortesia e disponibilità, quando si relazionano agli utenti. Si auspicano che gli atteggiamenti degli utenti sia collaborativo, così da agevolare in ogni occasione la corretta erogazione del servizio. ",,,2024-03-26T09:55:15.720596,214.0
aae5c6f0c213946d265cb98c08106c0b,22,I responsabili del Reparto Operativo si impegnano inoltre a favorire l'applicazione di tali elementi relazionali nei confronti degli utenti anche attraverso opportune e specifiche azioni formative dirette agli operatori di ogni ordine e grado.,I responsabili del Reparto Operativo si impegnano inoltre a favorire le buone relazioni nei confronti degli utenti anche attraverso azioni formative dirette agli operatori di ogni ordine e grado.,,,2024-03-26T09:56:31.474161,73.0
aae5c6f0c213946d265cb98c08106c0b,23,"Gli operatori del servizio si impegnano, nei rapporti con gli utenti, ad utilizzare in ogni occasione di comunicazione, sia verbale che scritta, un linguaggio semplificato e comprensibile ai destinatari, ponendo particolare cura alla spiegazione dei termini tecnico/giuridici. ","Gli operatori del servizio si impegnano, nei rapporti con gli utenti, ad comunicare, nel parlato e nello scritto, con un linguaggio semplificato e comprensibile ai destinatari. Devono soprattutto spiegare i termini tecnico/giuridici. ",,,2024-03-26T09:58:06.512308,92.0
aae5c6f0c213946d265cb98c08106c0b,24,"Gli stessi operatori, in orario di servizio, garantiscono all'utenza la loro agevole identificabilità attraverso l'esposizione di una placca indicante con caratteri ben leggibili il loro rispettivo numero di matricola.","Gli stessi operatori, in orario di servizio, cercano di essere sempre facili da indentificare per gli utenti. Espongono infatti la placca indificativa in cui è indicato con caratteri ben leggibili il loro rispettivo numero di matricola.",,,2024-03-26T10:03:03.485800,286.0
aae5c6f0c213946d265cb98c08106c0b,25,"Allo scopo di favorire il rapido decorso delle pratiche che presuppongono l'intervento di più reparti, appartenenti anche a Settori diversi, i Servizi di Polizia Locale Reparto Operativo promuovono la costituzione di un Tavolo di Coordinamento intersettoriale, con riunioni periodiche e programmate, allo scopo di costituire un dispositivo destinato a meglio coordinare l'attività tra uffici, in linea con quanto affermato al punto 9.c.","Per favorire la soluzione delle pratiche che coinvolgono più reparti, appartenenti anche a Settori diversi, i Servizi di Polizia Locale Reparto Operativo promuovono la costituzione di un Tavolo di Coordinamento intersettoriale. Il Tavolo si riunisce periodicamente secondo un programma, per costituire un migliore coordinamento delle attività tra uffici, in accordo con quanto affermato al punto 9.c.",,,2024-03-26T10:05:16.996332,130.0
aae5c6f0c213946d265cb98c08106c0b,26,I Servizi di Polizia Locale Reparto Operativo adottano gli strumenti utili ad assicurare la piena informazione degli utenti circa le modalità di prestazione dei servizi.,I Servizi di Polizia Locale Reparto Operativo informano efficacemente gli utenti circa le modalità di prestazione dei servizi.,,,2024-03-27T12:03:40.200319,31.0
aae5c6f0c213946d265cb98c08106c0b,27,"forniscono, tramite gli operatori, tutte le informazioni verbali per il soddisfacimento delle richieste degli utenti; ","forniscono, tramite gli operatori, tutte le informazioni verbali per soddisfare le richieste degli utenti; ",,,2024-03-27T12:04:22.112982,40.0
aae5c6f0c213946d265cb98c08106c0b,28,"garantiscono, per ogni procedimento elencato più avanti al punto 11 della presente Carta di Servizio, che gli atti notificati agli utenti contengono le necessarie indicazioni per l'inoltro di eventuali ricorsi. In tale prospettiva, garantiscono altresì che ogni riferimento di legge sarà seguito dalla riproduzione dello stralcio della norma pertinente ovvero dal suo Titolo, allo scopo di ottenere il massimo di chiarezza e comprensibilità; ","garantiscono, per ogni procedimento elencato più avanti al punto 11 della presente Carta di Servizio, che gli atti comunicati agli utenti contengono le necessarie indicazioni per eventuali ricorsi. Garantiscono inoltre che ogni riferimento alla legge sarà seguito dalla porzione testuale della norma, oppure dal suo Titolo, per ottenere il massimo di chiarezza e comprensibilità; ",,,2024-03-27T12:07:00.026484,154.0
aae5c6f0c213946d265cb98c08106c0b,29,"forniscono informazioni agli utenti sui loro diritti di partecipazione, accesso e trasparenza sulla situazione di una pratica, in particolare comunicando esplicitamente e tempestivamente agli interessati: 
- il nominativo del responsabile del procedimento e dell'operatore che materialmente segue la pratica; 
- il termine previsto dalla legge per la chiusura del procedimento;","forniscono informazioni agli utenti sui loro diritti di partecipazione, accesso e trasparenza sulla situazione di una pratica. Prevedono la comunicazione esplicita e veloce agli interessati: 
- il nominativo del responsabile del procedimento e dell'operatore che materialmente segue la pratica; 
- la scadenza prevista dalla legge per chiudere il procedimento;",,,2024-03-27T12:08:55.373751,112.0
aae5c6f0c213946d265cb98c08106c0b,30,"informano tempestivamente gli utenti della eventuale interruzione dell'erogazione del servizio, con le modalità di cui al punto 9.b; ","informano tempestivamente gli utenti della eventuale interruzione del servizio, con le modalità indicate al punto 9.b; ",,,2024-03-27T12:09:15.584440,19.0
aae5c6f0c213946d265cb98c08106c0b,31,"indicano esplicitamente, in ogni atto di rifiuto o dissenso, l'Autorità alla quale l'utente può presentare ricorso ed i termini entro cui poterlo fare.","indicano esplicitamente, in ogni atto di rifiuto, l'Autorità alla quale l'utente può presentare ricorso ed la scadenza entro cui poterlo fare.",,,2024-03-27T12:09:52.610853,35.0
aae5c6f0c213946d265cb98c08106c0b,32,"I responsabili del Reparto Operativo, d'intesa con il Comandante della Polizia Locale di Rovigo ed in accordo con il Settore Risorse Umane, predispone tutte le necessarie azioni formative nei confronti del personale operativo del servizio, affinché i rapporti dello stesso con gli utenti siano sempre improntati al massimo rispetto, cortesia e competenza professionale ed il loro atteggiamento sia tale da agevolare gli stessi nell'esercizio dei diritti e nell'adempimento degli obblighi. ","I responsabili del Reparto Operativo, d'accordo con il Comandante della Polizia Locale di Rovigo e con il Settore Risorse Umane, si impegna a formare il personale operativo del servizio. In maniera che i rapporti del personale con gli utenti siano sempre rispettosi, cortesi e competenti. Il loro atteggiamento devono agevolare gli utenti nell'esercizio dei diritti e nell'adempimento degli obblighi. ",,,2024-03-27T12:13:00.960559,182.0
aae5c6f0c213946d265cb98c08106c0b,33,"Al fine di comprendere pienamente le esigenze degli utenti e calibrare su di esse il contenuto e le modalità di erogazione del servizio, il Comandante della Polizia Locale di Rovigo attiva i seguenti interventi, avvalendosi della collaborazione e dell'eventuale supporto tecnico dell'Ufficio Relazioni con il Pubblico:","Per comprendere pienamente le esigenze degli utenti e adattare il contenuto e le modalità di erogazione del servizio, il Comandante della Polizia Locale di Rovigo attiva questi interventi, e collabora eventualmente con l'Ufficio Relazioni con il Pubblico:",,,2024-03-27T12:14:40.595534,95.0
aae5c6f0c213946d265cb98c08106c0b,34,"A cadenza annuale, immediatamente dopo l'erogazione del servizio ed in maniera assolutamente anonima e riservata, agli utenti viene consegnato un questionario da compilare, per rilevare la valutazione degli stessi utenti sulla qualità del servizio reso. ","Ogni anno, immediatamente dopo l'erogazione del servizio ed in maniera anonima e riservata, agli utenti viene consegnato un questionario da compilare. Il questionario serve a rilevare la valutazione degli utenti sulla qualità del servizio reso. ",,,2024-03-27T12:15:35.951371,53.0
aae5c6f0c213946d265cb98c08106c0b,35,I risultati dei questionari vengono indicati nel Rapporto annuale di valutazione della Carta del servizio ed esaminati al fine della redazione del Piano di miglioramento della qualità.,I risultati dei questionari vengono indicati nel Rapporto annuale di valutazione della Carta del servizio. Sono esaminati per la redazione del Piano di miglioramento della qualità.,,,2024-03-27T12:16:07.128629,29.0
aae5c6f0c213946d265cb98c08106c0b,36,"Ogni utente può presentare reclami relativamente all'erogazione del servizio, con particolare riferimento a quanto disposto dalla presente Carta e dalla Carta generale dei Servizi del Comune di Rovigo. ","Ogni utente può presentare reclami sulla prestazione del servizio, soprattutto per i servizi indicati dalla presente Carta e dalla Carta generale dei Servizi del Comune di Rovigo. ",,,2024-03-27T12:16:45.331702,36.0
